nu1,nu2,nu3,nu4,nu5,nu6,real_num,real_den,imag_num,imag_den
0,-1,-1,-1,-1,0,20601,3200000,0,1
0,-1,-1,-1,1,0,-20601,3200000,0,1
0,-1,-1,0,-1,0,20601,1600000,0,1
0,-1,-1,0,0,0,242307,400000,0,1
0,-1,-1,0,1,0,20601,1600000,0,1
0,-1,-1,1,-1,0,20601,3200000,0,1
0,-1,-1,1,1,0,-20601,3200000,0,1
0,-1,0,0,0,0,762237,400000,0,1
0,0,0,0,0,0,10791,4000,0,1
0,1,0,0,0,0,762237,400000,0,1
0,1,1,-1,-1,0,-20601,3200000,0,1
0,1,1,-1,1,0,20601,3200000,0,1
0,1,1,0,-1,0,20601,1600000,0,1
0,1,1,0,0,0,242307,400000,0,1
0,1,1,0,1,0,20601,1600000,0,1
0,1,1,1,-1,0,-20601,3200000,0,1
0,1,1,1,1,0,20601,3200000,0,1
