i,j,k,bound
1,1,1,0
1,1,2,92933/16000000000000000
1,1,3,933/640000000000000
1,1,4,2877/64000000000000000
1,1,5,763/8000000000000000
1,1,6,0
1,2,1,92933/16000000000000000
1,2,2,16637/48000000000000000
1,2,3,1219/9600000000000000
1,2,4,146363/144000000000000000
1,2,5,44809/96000000000000000
1,2,6,1/3600000000000
1,3,1,933/640000000000000
1,3,2,1219/9600000000000000
1,3,3,1219/9600000000000000
1,3,4,143717/144000000000000000
1,3,5,8609/19200000000000000
1,3,6,1/3600000000000
1,4,1,2877/64000000000000000
1,4,2,146363/144000000000000000
1,4,3,143717/144000000000000000
1,4,4,1393/32000000000000000
1,4,5,9071/19200000000000000
1,4,6,1/7200000000000
1,5,1,763/8000000000000000
1,5,2,44809/96000000000000000
1,5,3,8609/19200000000000000
1,5,4,9071/19200000000000000
1,5,5,371/8000000000000000
1,5,6,1/3600000000000
1,6,1,0
1,6,2,1/3600000000000
1,6,3,1/3600000000000
1,6,4,1/7200000000000
1,6,5,1/3600000000000
1,6,6,0
2,1,1,92933/16000000000000000
2,1,2,16637/48000000000000000
2,1,3,1219/9600000000000000
2,1,4,146363/144000000000000000
2,1,5,44809/96000000000000000
2,1,6,1/3600000000000
2,2,1,16637/48000000000000000
2,2,2,0
2,2,3,469/1000000000000000
2,2,4,49/2000000000000000
2,2,5,119/2000000000000000
2,2,6,0
2,3,1,1219/9600000000000000
2,3,2,469/1000000000000000
2,3,3,469/1000000000000000
2,3,4,49/2000000000000000
2,3,5,119/2000000000000000
2,3,6,0
2,4,1,146363/144000000000000000
2,4,2,49/2000000000000000
2,4,3,49/2000000000000000
2,4,4,1169/32000000000000000
2,4,5,8819/19200000000000000
2,4,6,1/7200000000000
2,5,1,44809/96000000000000000
2,5,2,119/2000000000000000
2,5,3,119/2000000000000000
2,5,4,8819/19200000000000000
2,5,5,427/8000000000000000
2,5,6,1/7200000000000
2,6,1,1/3600000000000
2,6,2,0
2,6,3,0
2,6,4,1/7200000000000
2,6,5,1/7200000000000
2,6,6,0
3,1,1,933/640000000000000
3,1,2,1219/9600000000000000
3,1,3,1219/9600000000000000
3,1,4,143717/144000000000000000
3,1,5,8609/19200000000000000
3,1,6,1/3600000000000
3,2,1,1219/9600000000000000
3,2,2,469/1000000000000000
3,2,3,469/1000000000000000
3,2,4,49/2000000000000000
3,2,5,119/2000000000000000
3,2,6,0
3,3,1,1219/9600000000000000
3,3,2,469/1000000000000000
3,3,3,0
3,3,4,49/8000000000000000
3,3,5,91/4000000000000000
3,3,6,0
3,4,1,143717/144000000000000000
3,4,2,49/2000000000000000
3,4,3,49/8000000000000000
3,4,4,581/32000000000000000
3,4,5,42331/96000000000000000
3,4,6,1/7200000000000
3,5,1,8609/19200000000000000
3,5,2,119/2000000000000000
3,5,3,91/4000000000000000
3,5,4,42331/96000000000000000
3,5,5,133/8000000000000000
3,5,6,1/7200000000000
3,6,1,1/3600000000000
3,6,2,0
3,6,3,0
3,6,4,1/7200000000000
3,6,5,1/7200000000000
3,6,6,0
4,1,1,2877/64000000000000000
4,1,2,146363/144000000000000000
4,1,3,143717/144000000000000000
4,1,4,1393/32000000000000000
4,1,5,9071/19200000000000000
4,1,6,1/7200000000000
4,2,1,146363/144000000000000000
4,2,2,49/2000000000000000
4,2,3,49/2000000000000000
4,2,4,1169/32000000000000000
4,2,5,8819/19200000000000000
4,2,6,1/7200000000000
4,3,1,143717/144000000000000000
4,3,2,49/2000000000000000
4,3,3,49/8000000000000000
4,3,4,581/32000000000000000
4,3,5,42331/96000000000000000
4,3,6,1/7200000000000
4,4,1,1393/32000000000000000
4,4,2,1169/32000000000000000
4,4,3,581/32000000000000000
4,4,4,0
4,4,5,49/8000000000000000
4,4,6,0
4,5,1,9071/19200000000000000
4,5,2,8819/19200000000000000
4,5,3,42331/96000000000000000
4,5,4,49/8000000000000000
4,5,5,0
4,5,6,1/7200000000000
4,6,1,1/7200000000000
4,6,2,1/7200000000000
4,6,3,1/7200000000000
4,6,4,0
4,6,5,1/7200000000000
4,6,6,0
5,1,1,763/8000000000000000
5,1,2,44809/96000000000000000
5,1,3,8609/19200000000000000
5,1,4,9071/19200000000000000
5,1,5,371/8000000000000000
5,1,6,1/3600000000000
5,2,1,44809/96000000000000000
5,2,2,119/2000000000000000
5,2,3,119/2000000000000000
5,2,4,8819/19200000000000000
5,2,5,427/8000000000000000
5,2,6,1/7200000000000
5,3,1,8609/19200000000000000
5,3,2,119/2000000000000000
