row,v_j,v_k,nu1,nu2,nu3,nu4,nu5,nu6,real_num,real_den,imag_num,imag_den
4,1,1,0,-2,-2,-2,-2,0,0,1,-147,51200000
4,1,1,0,-2,-2,-2,0,0,0,1,147,25600000
4,1,1,0,-2,-2,-2,2,0,0,1,-147,51200000
4,1,1,0,-2,-2,-1,-2,0,0,1,-147,25600000
4,1,1,0,-2,-2,-1,-1,0,0,1,-399,6400000
4,1,1,0,-2,-2,-1,1,0,0,1,399,6400000
4,1,1,0,-2,-2,-1,2,0,0,1,147,25600000
4,1,1,0,-2,-2,1,-2,0,0,1,147,25600000
4,1,1,0,-2,-2,1,-1,0,0,1,399,6400000
4,1,1,0,-2,-2,1,1,0,0,1,-399,6400000
4,1,1,0,-2,-2,1,2,0,0,1,-147,25600000
4,1,1,0,-2,-2,2,-2,0,0,1,147,51200000
4,1,1,0,-2,-2,2,0,0,0,1,-147,25600000
4,1,1,0,-2,-2,2,2,0,0,1,147,51200000
4,1,1,0,-2,-1,-1,-1,0,0,1,-441,6400000
4,1,1,0,-2,-1,-1,1,0,0,1,441,6400000
4,1,1,0,-2,-1,1,-1,0,0,1,441,6400000
4,1,1,0,-2,-1,1,1,0,0,1,-441,6400000
4,1,1,0,-1,-1,-1,-1,0,-21,400000,0,1
4,1,1,0,-1,-1,-1,1,0,21,400000,0,1
4,1,1,0,-1,-1,1,-1,0,21,400000,0,1
4,1,1,0,-1,-1,1,1,0,-21,400000,0,1
4,1,1,0,0,-1,-1,-1,0,0,1,441,6400000
4,1,1,0,0,-1,-1,1,0,0,1,-441,6400000
4,1,1,0,0,-1,1,-1,0,0,1,-441,6400000
4,1,1,0,0,-1,1,1,0,0,1,441,6400000
4,1,1,0,0,0,-2,-2,0,0,1,147,25600000
4,1,1,0,0,0,-2,0,0,0,1,-147,12800000
4,1,1,0,0,0,-2,2,0,0,1,147,25600000
4,1,1,0,0,0,-1,-1,0,0,1,-21,320000
4,1,1,0,0,0,-1,1,0,0,1,21,320000
4,1,1,0,0,0,1,-1,0,0,1,-21,320000
4,1,1,0,0,0,1,1,0,0,1,21,320000
4,1,1,0,0,0,2,-2,0,0,1,-147,25600000
4,1,1,0,0,0,2,0,0,0,1,147,12800000
4,1,1,0,0,0,2,2,0,0,1,-147,25600000
4,1,1,0,0,1,-1,-1,0,0,1,-441,6400000
4,1,1,0,0,1,-1,1,0,0,1,441,6400000
4,1,1,0,0,1,1,-1,0,0,1,441,6400000
4,1,1,0,0,1,1,1,0,0,1,-441,6400000
4,1,1,0,1,1,-1,-1,0,-21,400000,0,1
4,1,1,0,1,1,-1,1,0,21,400000,0,1
4,1,1,0,1,1,1,-1,0,21,400000,0,1
4,1,1,0,1,1,1,1,0,-21,400000,0,1
4,1,1,0,2,1,-1,-1,0,0,1,441,6400000
4,1,1,0,2,1,-1,1,0,0,1,-441,6400000
4,1,1,0,2,1,1,-1,0,0,1,-441,6400000
4,1,1,0,2,1,1,1,0,0,1,441,6400000
4,1,1,0,2,2,-2,-2,0,0,1,-147,51200000
4,1,1,0,2,2,-2,0,0,0,1,147,25600000
4,1,1,0,2,2,-2,2,0,0,1,-147,51200000
4,1,1,0,2,2,-1,-2,0,0,1,147,25600000
4,1,1,0,2,2,-1,-1,0,0,1,399,6400000
4,1,1,0,2,2,-1,1,0,0,1,-399,6400000
