'RouteBLocalEnergyBudget.derivative_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'RouteBLocalEnergyBudget.half_damping_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'RouteBLocalEnergyBudget.derivative_budget' depends on axioms: [propext, Classical.choice, Quot.sound]
'RouteBLocalEnergyBudget.full12Ball_block_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'RouteBLocalEnergyBudget.VB_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'RouteBLocalEnergyBudget.VB_le_blockNormSq' depends on axioms: [propext, Classical.choice, Quot.sound]
'RouteBLocalEnergyBudget.initial_VB_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'RouteBLocalEnergyBudget.full12Ball_initial_VB' depends on axioms: [propext, Classical.choice, Quot.sound]
'RouteBLocalEnergyBudget.p_le_VB' depends on axioms: [propext, Classical.choice, Quot.sound]
'RouteBLocalEnergyBudget.qterminal_le_VB' depends on axioms: [propext, Classical.choice, Quot.sound]
'RouteBLocalEnergyBudget.cap_arithmetic' depends on axioms: [propext, Classical.choice, Quot.sound]
'RouteBLocalEnergyBudget.outputs_of_cap' depends on axioms: [propext, Classical.choice, Quot.sound]
'RouteBLocalEnergyBudget.cap_of_energy_ledger' depends on axioms: [propext, Classical.choice, Quot.sound]
