t,q1,q2,q3,q4,q5,q6,v1,v2,v3,v4,v5,v6,R,VB,p,qterminal,e4,e5,cost
0.0,0.0,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038636062154573016,-0.029131665885138356,0.0006621403944586013
0.01,1.97122960674988e-6,0.14907725727240403,-4.2190577507585184e-5,-1.4791749477473594e-6,-2.8044396238906728e-5,3.528532787854353e-7,0.0004238870722059352,0.015315748030922454,-0.008222041520145712,-0.00027805290067465225,-0.0055117963408062975,0.00010324964037850432,7.246894331512219e-6,7.670110820504225e-7,2.4366952868657818e-5,6.0916790664555344e-5,-0.006242766401785747,-0.031505501972748894,0.0007878934708361823
0.02,9.068765736759767e-6,0.14930375816727018,-0.000160353859745203,-5.202616061472705e-6,-0.0001083340654478557,2.6272895167518535e-6,0.001025077729729352,0.029864132835101306,-0.015217437237581302,-0.0004486578518212595,-0.010453169319583476,0.00037577758753387197,1.5768503305163885e-5,2.756496851814902e-6,8.759367915893123e-5,0.0002189753753946153,-0.008523433783833174,-0.03365845540593908,0.000916860669716033
0.03,2.305994643033993e-5,0.14967227568029767,-0.0003428837468751746,-1.0093703973955123e-5,-0.0002352941944330949,8.286402365240122e-6,0.0018024129935803556,0.043732953298519166,-0.02111567327549439,-0.0005117289105147663,-0.014850554033331102,0.0007741188698615389,2.559134950247853e-5,5.562993243215572e-6,0.0001767238551209854,0.0004417680388718681,-0.010728899614740769,-0.03562153988279876,0.0010480156917408922
0.04,4.569992369034377e-5,0.15017641669704196,-0.0005793946549972606,-1.50838749846387e-5,-0.00040362867891744045,1.842495750695038e-5,0.00275461351348845,0.0570013545827293,-0.02603167980294022,-0.0004688380021304089,-0.01873304999541662,0.0012673386963088474,3.673423067719124e-5,8.85921554025312e-6,0.00028116229241301,0.000702783373307228,-0.012875006468956106,-0.03742139762218999,0.0011808043889640551
0.05,7.873043728780978e-5,0.1508105402398789,-0.000860584926285384,-1.9125868162817136e-5,-0.0006083410235503987,3.387502158997881e-5,0.003880276099330168,0.06974076568042296,-0.03006758388833116,-0.0003225880352657616,-0.022131317511129567,0.0018333174028376301,4.921200940235981e-5,1.2388825038369883e-5,0.00039247508915479253,0.0009809098894371557,-0.014972420406300372,-0.03908095374149536,0.001314970623664298
0.06,0.000123878580717962,0.15156968453698583,-0.0011781165952317624,-2.1201757986080114e-5,-0.0008447454730896341,5.528032144296428e-5,0.005177875247740562,0.0820157286990424,-0.033314233675754534,-7.618489833731961e-5,-0.025076719017483325,0.0024561457857305746,6.303798200732676e-5,1.5958007342309187e-5,0.0005041491792997063,0.0012598374149276304,-0.01702821816837626,-0.04061996936873889,0.0014504419887569338
0.07,0.00018285559934347567,0.15244950190002468,-0.0015245093890020134,-2.0327440132060203e-5,-0.0011084705850963454,8.314867545185069e-5,0.00664576779823926,0.09388463339572138,-0.035852525937546204,0.00026685228374391393,-0.027600659052993543,0.0031242981516774104,7.822531416629406e-5,1.9426735126076294e-5,0.0006113377526050164,0.0015274225413304061,-0.019046994933506516,-0.04205550941329572,0.0015872547192379892
0.08,0.0002573557452554044,0.15344620052285815,-0.0018930471358995016,-1.55547287744752e-5,-0.001395457033145143,0.00011788904072443193,0.00828219944599476,0.1054003686760404,-0.037754564357156455,0.0007028849699723723,-0.02973408462636039,0.003829350170092713,9.47878636371167e-5,2.27002822496221e-5,0.0007106091821002718,0.0017750622985399733,-0.02103163603869688,-0.04340233739831341,0.0017255044497224677
0.09,0.0003490552027930442,0.15455649242298852,-0.0022776950089187227,-5.9718677034204974e-6,-0.001701951082522394,0.000159837760087346,0.010085312244774505,0.11661090120850855,-0.03908467183950521,0.0012282826974367848,-0.03150711463155036,0.004565078414562759,0.00011274060300049835,2.572133437729464e-5,0.0007997105703581367,0.0019971039210324643,-0.022983854415570583,-0.04467325051990519,0.0018653142943065972
