t,q1,q2,q3,q4,q5,q6,v1,v2,v3,v4,v5,v6,R,VB,p,qterminal,e4,e5,cost
0.0,0.0,0.0,0.0,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006660299999999999,0.0333015,0.066603,-0.030516174826378778,-0.0001505781171076282,0.0005820405201323609
0.01,6.451954350530969e-6,2.6517654785956974e-7,-1.017338404040257e-7,0.14895084636140482,-1.3911112956557324e-7,3.8680941617331466e-5,0.0012669892452854999,5.1592422448030174e-5,-1.9426130071829094e-5,-0.00961865876971096,-2.6776132456177952e-5,0.007187601841325508,4.502540136504988e-6,0.006661303371918852,0.03335354739848879,0.06674410252237334,-0.023379584692577077,-0.00013653788685752844,0.00034164245320570947
0.02,2.4898344772502127e-5,1.0050738066265877e-6,-3.716983614756778e-7,0.14881144963385937,-5.162867905479541e-7,0.0001346231773932512,0.002401445583527455,9.514515555035683e-5,-3.3799550702063046e-5,-0.018088074571040315,-4.777581533093719e-5,0.01162411607230549,7.176774747708967e-6,0.006662539892667557,0.03347901589296866,0.06708890407562373,-0.018144412546991402,-0.00012377041593983036,0.0002057741006074153
0.03,5.408598534418626e-5,2.1449871825279667e-6,-7.637147808423072e-7,0.14859222670321073,-1.0783841326969012e-6,0.0002649136652891793,0.003417362220061725,0.00013176439834694013,-4.396553541358224e-5,-0.025613234999822508,-6.389791102337476e-5,0.014177056290480688,8.806256782615348e-6,0.006662164253829989,0.03364430826875126,0.06755103329354219,-0.01425852058328203,-0.00011206589303724775,0.00012707554135290967
0.04,9.288970390777267e-5,3.620376849774905e-6,-1.2393723927015124e-6,0.1483018169950303,-1.7805353384068556e-6,0.00041392057274811914,0.004326455880761734,0.00016238356832075102,-5.063689148287126e-5,-0.03234755985080222,-7.590334212352735e-5,0.015450797140384526,9.823461748781726e-6,0.0066590672823991694,0.03382723970249151,0.06807302756083046,-0.011334074494785802,-0.00010127285028671258,8.029616728542719e-5
0.05,0.00014029246605194566,5.375321850968367e-6,-1.7668272358895768e-6,0.1479475199698727,-2.5848995903354556e-6,0.0005710809691298924,0.0051387140648793935,0.0001877979970007128,-5.4417622106288736e-5,-0.03840767177523059,-8.444023994752205e-5,0.015865695976659402,1.047228872651549e-5,0.006652591890714626,0.03401282811295476,0.0686157187784487,-0.009098359770031528,-9.12803669735336e-5,5.1744003377422275e-5
0.06,0.00019537015331597945,7.361275520767234e-6,-2.3198099492333565e-6,0.1475356081125144,-3.4596361004669425e-6,0.0007293539817438892,0.005862787669134173,0.00020869097161989103,-5.5821359376631725e-5,-0.04388378591403551,-9.006331351538678e-5,0.01571347200749364,1.0893535848425621e-5,0.006642365423284085,0.034190769331687236,0.06915185657439421,-0.007359341496959583,-8.200523561538027e-5,3.3855115011250984e-5
0.07,0.00025727969136899657,9.536048522426608e-6,-2.8767976794247738e-6,0.1470715522849635,-4.378048635770553e-6,0.000884139707743072,0.00650627469054138,0.00022565355316845915,-5.5285934294775053e-5,-0.04884702894034733,-9.324900902759557e-5,0.015195964124480642,1.1170531090790106e-5,0.006628199077232364,0.034353895011355544,0.0696622063953818,-0.005981546674989638,-7.338360451177726e-5,2.2365955316375624e-5
0.08,0.00032524960864143034,1.1862966304170902e-5,-3.420316602183351e-6,0.1465601852888753,-5.317865400773483e-6,0.0010325240746880163,0.007075927054533569,0.0002391998838937939,-5.3185075323895e-5,-0.05335460519466094,-9.440755489337564e-5,0.014452252962757045,1.1353895741313863e-5,0.006610026338212245,0.03449721015689537,0.07013310943709657,-0.004869173773157924,-6.536463031128156e-5,1.4821319836060015e-5
0.09,0.00039857237568127117,1.4310162238318474e-5,-3.936350015893682e-6,0.14600582176261376,-6.260627085386833e-6,0.0011727517787658006,0.007577803047553647,0.00024977917788552575,-4.983790533951438e-5,-0.0574534526110689,-9.38926812568638e-5,0.013577637545197589,1.1475224487019293e-5,0.006587864332352618,0.03461727646787173,0.07055491614885064,-0.003954262569868701,-5.790672732808207e-5,9.775199670872964e-6
