t,q1,q2,q3,q4,q5,q6,v1,v2,v3,v4,v5,v6,R,VB,p,qterminal,e4,e5,cost
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011989270748898175,-0.003289159842843538,9.22037015625685e-6
0.01,-1.4979279199172635e-7,0.001460863137577333,3.272780697779286e-5,5.651974835550795e-7,-2.322446015201064e-6,4.0373411084409195e-7,6.249779128564363e-6,0.14329951367662075,0.006394001351523915,0.00011874038549902527,-0.00037483129832209267,0.00011786611738852964,6.913169170229148e-8,4.3493503774847805e-9,1.2368679488575965e-7,3.092127023116324e-7,-0.001707630174648603,-0.002531913075111202,6.753718831371176e-6
0.02,8.415473649601781e-7,0.0028684103368653464,0.0001250731297175502,2.5082145367361176e-6,-5.9169720295212585e-6,2.9863024786974414e-6,0.0002274738507671269,0.138325344478114,0.011945270068252252,0.00027736077247505765,-0.0002748819734898167,0.0004251820095336041,1.731221022788123e-7,6.39418568359715e-9,1.2205323051333423e-7,3.0510210000971525e-7,-0.004455391651739497,-0.0020833686094167115,1.5745360010495996e-5
0.03,5.101588174564308e-6,0.004229574949302509,0.00026923018083907844,6.275373915284377e-6,-6.608259853317691e-6,9.358581465453998e-6,0.0006592760765208719,0.1340129109078955,0.01677506482898154,0.0004847696525497701,0.00018934017094187998,0.000868388958291793,4.15074664515945e-7,1.4630830597027068e-8,2.1680562721651852e-7,5.419517809792471e-7,-0.007078771698016219,-0.0018930588281934682,3.407480102962885e-5
0.04,1.4715021742215511e-5,0.005550684125636135,0.000458518912220803,1.238609953679936e-5,-1.2138660251429078e-6,2.068064468824435e-5,0.001297469807935199,0.13030537393865657,0.020987722370748117,0.0007468559787740396,0.0009290465305669914,0.0014099349583591757,8.81406570120534e-7,5.424256446095135e-8,1.1369693805899677e-6,2.842307284775572e-6,-0.009602126156557002,-0.0019186312681823301,6.045716742959716e-5
0.05,3.1725550754795196e-5,0.006837531093569777,0.0006872285123480496,2.1407472440195038e-5,1.2652626593629247e-5,3.779638017408155e-5,0.0021380381372659353,0.1271526332110418,0.024673132208938464,0.0010673866944721686,0.0018732243142285851,0.002023469833524662,1.6484354240023797e-6,1.5468645426035534e-7,3.7195545028166938e-6,9.298422480414739e-6,-0.012042749025333102,-0.0021245377072774295,9.411442406958635e-5
0.06,5.8137430940369695e-5,0.008095438125666666,0.0009504837044194622,3.393634874518831e-5,3.674256210919356e-5,6.132769553079907e-5,0.0031771043356381415,0.12451046502476139,0.027908832938229364,0.0014486373691247033,0.0029653795854811486,0.0026904821991132577,2.7863320966169863e-6,3.4374868539713064e-7,8.717373588025068e-6,2.179155770133529e-5,-0.014412972311179098,-0.0024809370044305227,0.00013456825940749242
0.07,9.591675645809875e-5,0.009329311506006268,0.0012441303687464784,5.0586793025791376e-5,7.23035318594177e-5,9.174043873892801e-5,0.004410909600682104,0.12233978085350895,0.03076178988629101,0.0018918356884085148,0.004160849889517989,0.0033979457504614164,4.361419290629326e-6,6.45269965787861e-7,1.6725051496552357e-5,4.1806788623119904e-5,-0.016721637767133507,-0.0029627769360770634,0.00018151057498870852
0.08,0.00014699255055783742,0.010543689608655081,0.0015646375608091999,7.198125150600721e-5,0.00012018625636553535,0.00012939052406491506,0.005835796079624946,0.12060598844914777,0.03328990423518382,0.0023974736651703097,0.005424589214224024,0.004136672083895105,6.437441565623423e-6,1.0788338925768642e-6,2.8168677549789923e-5,7.040697434688416e-5,-0.018975128736207172,-0.003549024898251112,0.00023472360004219992
0.09,0.00021325770664649325,0.011742785036012948,0.0019090134561106239,9.874435959433616e-5,0.00018093133599638166,0.00017455620568248976,0.0074481937266184005,0.11927844039591334,0.03554329567248429,0.002965527717190278,0.0067293445130297055,0.0049001580750551044,9.076206829642976e-6,1.6604026456209785e-6,4.332647566851913e-5,0.00010828432422362497,-0.02117809383970588,-0.004222024393178869,0.0002940317020437309
