t,q1,q2,q3,q4,q5,q6,v1,v2,v3,v4,v5,v6,R,VB,p,qterminal,e4,e5,cost
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.149,0.0,0.0,0.0,0.0,-0.08691032864263414,1.1874814337019284e-9,0.00472087826548167
0.01,2.1044966257739557e-7,1.88853600170748e-7,7.113849006895195e-8,-3.223872122406123e-5,2.869998232546223e-7,-0.001257042052531564,6.44290660011493e-5,5.657428592552323e-5,2.1618522223120686e-5,-0.00598966687851223,8.499979475447854e-5,-0.10495150641646053,3.467773282274844e-5,2.0932840941314668e-6,2.8708226550796393e-5,7.176978681385468e-5,-0.06298840130081598,-0.000813175954935204,0.00248022034431554
0.02,1.779290921260142e-6,1.5043018802085668e-6,5.903503747816531e-7,-0.0001121201231647523,2.21093441497147e-6,-0.002141729321823536,0.00027572752183303465,0.00022499579190297722,9.058668005688373e-5,-0.009667367247841565,0.00032342134905834034,-0.07376728041938953,5.334536625546047e-5,5.4581599788724964e-6,7.486893641430741e-5,0.00018716290917808142,-0.046983959457386835,-0.0016452836810885094,0.0013817650546189377
0.03,6.281292328526897e-6,5.0552784053561435e-6,2.0581876278706916e-6,-0.0002202405205741914,7.193643670352738e-6,-0.002762298695386748,0.00065367431928351,0.0005033746052079578,0.00021211169482001515,-0.011734405694415091,0.000693423838050476,-0.05159452866435888,6.412935973375584e-5,8.058981709164176e-6,0.00011061452734935645,0.0002764999001468321,-0.03650791926551021,-0.002490683819307306,0.0008377895332916008
0.04,1.545060769460591e-5,1.1932446050976937e-5,5.021471760507627e-6,-0.00034308738260722797,1.6456460639568786e-5,-0.003194576256484843,0.001210803766835856,0.0008899548203472518,0.0003902709768950565,-0.012680292339856673,0.0011766371465640984,-0.035735405413510724,7.099618940479595e-5,9.44960635596833e-6,0.00012991640068992346,0.00032470251689940783,-0.02988798997242709,-0.003344883879558011,0.0005669138101143444
0.05,3.112001074390405e-5,2.3209739325731652e-5,1.0062881682418673e-5,-0.00047125844729485,3.1051838640757186e-5,-0.003491692469337674,0.0019546106222821094,0.0013831506479238741,0.0006281857431982229,-0.012846379371697551,0.0017575657334496881,-0.024300689964865795,7.592219360053244e-5,9.771178881411057e-6,0.00013482937332642294,0.000336906146760435,-0.025953696431576564,-0.004204310779661224,0.00043459357337130767
0.06,5.517866856134938e-5,3.994615486505318e-5,1.7792171309155943e-5,-0.0005982160759334929,5.188957287527427e-5,-0.003690884213984121,0.0028890921034380175,0.001981561543915435,0.0009281734751254303,-0.012470404782108169,0.0024230998400725555,-0.015967320729765345,7.993144587508397e-5,9.326912055522078e-6,0.00012964675911358641,0.0003238464815330072,-0.023885872800235446,-0.005066131768739839,0.00037632716394947686
0.07,8.954287691343635e-5,6.318762287856564e-5,2.883881023993731e-5,-0.000719416249270156,7.975858349995338e-5,-0.0038182572751700055,0.004015825796678786,0.0026839743546055615,0.0012918802970546394,-0.011717669703552785,0.0031621135574989878,-0.009808640393845016,8.358978098675932e-5,8.417211997698861e-6,0.00011862807810269597,0.00029617725437822303,-0.02311129294233548,-0.005928112667009246,0.00036086512094941735
0.08,0.00013613585421556778,9.396885804726243e-5,4.384585449296792e-5,-0.0008316997753653494,0.00011534504472939545,-0.0038921209046890756,0.005334722760100343,0.0034893577703098643,0.001720394921417947,-0.0107028583879978,0.003965133544019658,-0.005175546881120573,8.723892212709782e-5,7.2875622278180456e-6,0.00010527631284988542,0.0002626620103779487,-0.02322890131444913,-0.006788504959661974,0.0003726877367784182
0.09,0.00019687386258490153,0.00013331513170648438,6.346487224396011e-5,-0.0009328670014002216,0.00015924749879065426,-0.0039253226586566745,0.006844553335757844,0.004396852593183231,0.0022143460157787297,-0.009505307555404413,0.004824065346760408,-0.001613284051753557,9.110718350590945e-5,6.121864763152058e-6,9.224138346637306e-5,0.00022993175820980324,-0.023958167535639167,-0.0076459548264456775,0.00040371583148959497
0.1,0.00027365674462562147,0.00018224393542906912,8.835176848880735e-5,-0.0010213809306138084,0.0002119894766822311,-0.003926883298654423,0.008543313932850112,0.005405760037874099,0.002773984950701935,-0.008179690084161221,0.00573196687890026,0.0011968157792638951,9.53619693785971e-5,5.051582744955573e-6,8.14424571544563e-5,0.00020279002397840658,-0.0251029298399432,-0.008499430202189504,0.0004494176512177258
0.11,0.00036836153874715934,0.00024176652389349911,0.00011916337185746936,-0.0010961601739814708,0.000274030053732788,-0.003903141642893605,0.010428482565391948,0.00651552947486224,0.003399255772305766,-0.006763488702356257,0.00668286063689142,0.003478120209920692,0.00010013501861190376,4.1683527773096014e-6,7.423931397126865e-5,0.0001846407902301427,-0.02652608237799004,-0.009348161663571223,0.0005069922897126482
0.12,0.00048283823772009076,0.00031288933618985325,0.00015655466450228086,-0.0011564347376069757,0.0003457726916563501,-0.0038585563117441908,0.0124971965916252,0.0077257464775132775,0.0040898541246860865,-0.005282222758075491,0.007671577752649521,0.0053872547210348475,0.00010553495489721307,3.5354797233628817e-6,7.158933606966127e-5,0.0001778806651316736,-0.028131854285451816,-0.01019159426031753,0.0005745246840895968
0.13,0.0006189070364802263,0.0003966153011329649,0.00020117655262915827,-0.0012016457476677416,0.00042757265675561054,-0.0037962672458241803,0.014746376064240476,0.009036121632590958,0.004845276701494092,-0.0037531022910535436,0.008693628342137757,0.007034097920924637,0.00011165392354631205,3.1970286716600097e-6,7.417211676620534e-5,0.00018421021375574357,-0.029853403730149566,-0.01102934876158056,0.0006505903284255895
0.14,0.0007783566120772556,0.0004939450356295682,0.00025367408995842776,-0.0012313758859618684,0.0005197432536940195,-0.003718489023655187,0.0171728090763742,0.010446480366420506,0.005664862599915584,-0.0021875814176828753,0.009745093565716446,0.008495781850966062,0.00011857143844176172,3.1845202981500687e-6,8.248151828428083e-5,0.00020486398099398546,-0.031644133268508956,-0.011861189331620992,0.0007340658755704795
0.15,0.0009629431164462722,0.0006058779468210576,0.0003146850794631142,-0.001245301279243559,0.0006225610724187509,-0.0036267864066856065,0.01977321056749828,0.011956753882446615,0.006547827802535883,-0.0005931414483915246,0.010822535659153332,0.009826495076928211,0.00012635686346800794,3.521652560983582e-6,9.689081224462161e-5,0.00024077326243782137,-0.033471609686382575,-0.012686997658369031,0.0008240332244376634
0.16,0.0011743896591032213,0.0007334132490859737,0.00038483899003697247,-0.001243158364921085,0.0007362704123580169,-0.0035222674175152467,0.022544262611895866,0.013566971185104602,0.007493293857940516,0.0010254649418769814,0.01192292286987368,0.011064347187903365,0.00013507117493958466,4.227532854957965e-6,0.00011769743974696117,0.00029267794673711256,-0.03531330815121428,-0.013506751452582896,0.0009197261480963278
0.17,0.0014143861243052706,0.0008775509066320162,0.0004647561347130708,-0.0012247212011774601,0.0008610870196624696,-0.003405718670216916,0.02548264179973148,0.015277252166033374,0.008500311640048875,0.002665346585509196,0.013043566758648805,0.012236175863303283,0.0001447683014466903,5.31884012810904e-6,0.00014515308428063802,0.0003612016510445615,-0.037153633167025135,-0.014320506618033404,0.0010204967550183908
0.18,0.0016845892144036507,0.0010392925117987282,0.0005550470653062142,-0.001189786051522468,0.0009972012504444727,-0.0032777002594597125,0.02858503763693724,0.01708780164024805,0.009567881001823212,0.004324870378926339,0.014182069777924394,0.013360913445537043,0.00015549618309073176,6.81124231022785e-6,0.0001794834873577729,0.00044690121750771814,-0.03898183283710133,-0.0151283833358389,0.0011257918512073872
0.19,0.0019866226440981463,0.001219642108121019,0.0006563121458049483,-0.0011381610270138089,0.0011447807537617873,-0.0031386123258233837,0.031848164705786365,0.018998904249649055,0.010694966965236308,0.006003242206642932,0.015336281386340066,0.014451944925976503,0.00016729762466220313,8.720306987932299e-6,0.0002209012552484907,0.0005502986879980294,-0.040790539428841525,-0.015930553563735964,0.0012351349028461224
0.2,0.0023220774333679514,0.001419606966348916,0.0007691412727289707,-0.001069659236645344,0.0013039727524775508,-0.0029887417814743245,0.03526877050389365,0.021010920132433806,0.011880513014288737,0.007700216704893872,0.016504261284435662,0.015518759743757157,0.0001802109880005083,1.1062073254577602e-5,0.00026961395601041567,0.0006719015031597307,-0.04257474791457261,-0.01672723175016917,0.0013481117111655836
