t,q1,q2,q3,q4,q5,q6,v1,v2,v3,v4,v5,v6,R,VB,p,qterminal,e4,e5,cost
0.0,-0.008135022505202715,0.14126605545004758,0.03131558691081696,-0.0018278295001692227,-0.008435775794980649,0.0005508260321050312,-0.01990605000016992,0.025688248496756313,0.007775309587673843,-0.0019297453853796176,0.001468903833212501,-0.0008811056941805066,0.0,1.906423816597972e-5,0.00011646018749620164,0.00023527301328185138,-0.00877177071571044,-0.027721992094637268,0.0006392506264653384
0.01,-0.008329905409932494,0.14159644930800863,0.03135437631305673,-0.00184954890673691,-0.008444678940081133,0.0005418493595172763,-0.01904191113709101,0.04026832401401721,0.0001860436976478259,-0.0023934575091390793,-0.0031721833707121843,-0.0008779919673531137,7.066974271738471e-6,1.9441071641296085e-5,0.00012473325928757402,0.0002557830730493389,-0.011108926311763249,-0.030114648230283585,0.0007747394124010562
0.02,-0.008515290016444549,0.14206912450806078,0.03132315425598541,-0.0018752829102823977,-0.008497689381820125,0.0005338907271900704,-0.01800656225291371,0.05415886810007559,-0.006248746332260775,-0.0027325391944091155,-0.007354437257813553,-0.0006868759502205769,1.5504399266930528e-5,2.0900442388605013e-5,0.00016283473049772212,0.0003502912681266835,-0.013339765823124544,-0.03228762711346838,0.000913134394841321
0.03,-0.008689469560814234,0.14267760156178214,0.03123283826340897,-0.001903785484726926,-0.008590283932745203,0.0005285778174104529,-0.016801089005706024,0.06744160887681813,-0.011652005267745486,-0.002947417857165664,-0.0110917023964368,-0.00035551567616909076,2.5336151814718958e-5,2.3129337206549655e-5,0.00022149657308624473,0.0004956783998028338,-0.015489978061641829,-0.03427224985110059,0.001053490683762121
0.04,-0.008850748706187656,0.14341617678275062,0.031093188292248653,-0.0019338245555739436,-0.008718099794322885,0.0005271334203091141,-0.015426692717312743,0.08019013782633402,-0.016132611268116638,-0.0030403191544159927,-0.014401971064305399,8.206406709497765e-5,3.657904995143572e-5,2.5867009771549318e-5,0.00029294566103150923,0.000672555446502138,-0.017577069987540828,-0.03609535319489257,0.0011953070393141572
0.05,-0.008997444733922026,0.14427984550226347,0.030912938539734508,-0.0019641963284450273,-0.008876969324843602,0.0005304912108076372,-0.013884696124188672,0.0924708073349099,-0.019787106192113484,-0.0030145794309829493,-0.017306091283489367,0.0006015011538535746,4.924639076728233e-5,2.8902872281364505e-5,0.00037085876514287447,0.0008651529241490178,-0.019612857416492893,-0.03777996985694142,0.0013383582810951094
0.06,-0.009127888762116695,0.14526423371907557,0.03069991313014447,-0.001993733897909869,-0.009062943288316192,0.0005393772633283694,-0.012176543511179107,0.10434352237903058,-0.022701195335763105,-0.00287417619263327,-0.019826745782849264,0.0011852421926126999,6.335012917616474e-5,3.207242583509004e-5,0.0004502564635535904,0.001061057221956793,-0.021605204739349106,-0.039345902465259534,0.001482586730128412
0.07,-0.009240426946187508,0.1463655371939469,0.03046112781736916,-0.002021311965152313,-0.009272305034309022,0.000554367540397003,-0.0103037972657651,0.11586243989250569,-0.024951049584479773,-0.002623410217145317,-0.021987651634091162,0.0018205407741237268,7.890217480839223e-5,3.525217055673813e-5,0.0005273632985042699,0.0012508622392283695,-0.02355924004168968,-0.0408102063956826,0.001628031655018116
0.08,-0.009333421633118257,0.14758046712551345,0.030202879535608983,-0.0020458489350277387,-0.009501577601782388,0.0005759285251874567,-0.008268132250141256,0.1270765874639503,-0.026604437918912177,-0.00226669290557421,-0.023812939169769863,0.0024980526794327637,9.591511686217471e-5,3.835414040380603e-5,0.0005994533870865425,0.001427784361625621,-0.02547820175335809,-0.04218759899429302,0.001774783657791107
0.09,-0.00940525245264424,0.1489062016523917,0.029930825372461344,-0.0020663072730908987,-0.009747525363705269,0.0006044460210124689,-0.006071328944735692,0.13803041145035908,-0.027721714089344353,-0.001808406445654787,-0.025326676081130914,0.0032108493202037086,0.00011440258001729039,4.1320487615261514e-5,0.0006646944988473305,0.0015872733397711467,-0.027364029406831164,-0.04349080409608308,0.0019229553858026438
0.1,-0.009454317336494347,0.15034034252033784,0.029650052318722905,-0.0020816927308876607,-0.010007151519577942,0.0006402456373212815,-0.003715266003104041,0.14876426322373723,-0.028356677708167556,-0.0012528141742891958,-0.026552508674902563,0.003953724272304191,0.00013437934562608015,4.411838184981532e-5,0.000721998997471293,0.0017266400990570163,-0.029217773699371678,-0.04473084482180951,0.0020726631516771576
0.11,-0.009479033462089195,0.1518808763344551,0.029365138962162324,-0.0020910528578345538,-0.010277692488695346,0.000683607428916813,-0.0012019126452910368,0.15931483110334377,-0.028557327017384167,-0.000604005353721194,-0.02751339729635866,0.004722705251376691,0.0001558613270665119,4.6735375278979596e-5,0.000770886680023344,0.0018447141013485278,-0.031039881142656944,-0.04591728997659962,0.0022240156335709463
0.12,-0.009477838120568259,0.15352613988683078,0.029080210132818717,-0.002093475085578685,-0.010556610048164534,0.0007347764177314189,0.0014666788336267064,0.16971552452957353,-0.028366518081724433,0.00013413662201481135,-0.02823142703098752,0.005514710151868478,0.00017886545797646814,4.9175305811354026e-5,0.0008113621523358914,0.001941536890607518,-0.0328303908865131,-0.04705846430694596,0.002377107421237782
0.13,-0.009449189511236926,0.15527478911121675,0.028798985371036496,-0.002088084578650044,-0.010841581889079275,0.0007939702101044115,0.0042883802653120905,0.17999681618012509,-0.027822542986478512,0.0009579502298912555,-0.028727678308094192,0.006327304153147813,0.0002034095322909029,5.145475747459082e-5,0.0008438077282908472,0.0020180943244282124,-0.03458907036035362,-0.048161625959321754,0.0025320156100887142
0.14,-0.009391567465901402,0.1571257712694833,0.028524821972850188,-0.0020740419812081356,-0.011130491124405019,0.0008613845607303467,0.007260994416116202,0.1901865469816068,-0.026959637829940108,0.0018640013244333835,-0.029022144752340686,0.007158527777169487,0.0002295120211729816,5.3600062385154905e-5,0.0008688917337860534,0.002076087222357429,-0.036315507769297546,-0.04923311795852605,0.0026887984529680325
